"";"Date";"ModulePath";"ModuleLevel";"AlternativeCost"
"1";"2013-10-16";"Font-Awesome/build/_includes/";3;0
"2";"2013-10-18";"Font-Awesome/build/_includes/";3;0
"3";"2013-10-19";"Font-Awesome/build/_includes/";3;0
"4";"2013-10-20";"Font-Awesome/build/_includes/";3;0
"5";"2013-10-21";"Font-Awesome/build/_includes/";3;0
"6";"2013-10-22";"Font-Awesome/build/_includes/";3;0
"7";"2013-10-23";"Font-Awesome/build/_includes/";3;0
"8";"2013-10-24";"Font-Awesome/build/_includes/";3;0
"9";"2013-10-25";"Font-Awesome/build/_includes/";3;0
"10";"2013-10-26";"Font-Awesome/build/_includes/";3;0
"11";"2013-10-27";"Font-Awesome/build/_includes/";3;0
"12";"2013-11-04";"Font-Awesome/build/_includes/";3;0
"13";"2013-11-05";"Font-Awesome/build/_includes/";3;0
"14";"2013-11-17";"Font-Awesome/build/_includes/";3;0
"15";"2013-11-18";"Font-Awesome/build/_includes/";3;0
"16";"2013-11-19";"Font-Awesome/build/_includes/";3;0
"17";"2013-11-27";"Font-Awesome/build/_includes/";3;0
"18";"2013-11-28";"Font-Awesome/build/_includes/";3;0
"19";"2013-12-02";"Font-Awesome/build/_includes/";3;0
"20";"2013-12-03";"Font-Awesome/build/_includes/";3;0
"21";"2013-12-05";"Font-Awesome/build/_includes/";3;0
"22";"2014-01-08";"Font-Awesome/build/_includes/";3;0
"23";"2014-01-09";"Font-Awesome/build/_includes/";3;0
"24";"2014-01-18";"Font-Awesome/build/_includes/";3;0
"25";"2014-01-22";"Font-Awesome/build/_includes/";3;0
"26";"2014-01-29";"Font-Awesome/build/_includes/";3;0
"27";"2014-01-30";"Font-Awesome/build/_includes/";3;0
"28";"2014-02-03";"Font-Awesome/build/_includes/";3;0
"29";"2014-03-25";"Font-Awesome/build/_includes/";3;0
"30";"2014-03-26";"Font-Awesome/build/_includes/";3;0
"31";"2014-04-10";"Font-Awesome/build/_includes/";3;0
"32";"2014-04-15";"Font-Awesome/build/_includes/";3;0
"33";"2014-04-18";"Font-Awesome/build/_includes/";3;0
"34";"2014-04-26";"Font-Awesome/build/_includes/";3;0
"35";"2014-04-27";"Font-Awesome/build/_includes/";3;0
"36";"2014-05-09";"Font-Awesome/build/_includes/";3;0
"37";"2014-05-13";"Font-Awesome/build/_includes/";3;0
"38";"2014-05-14";"Font-Awesome/build/_includes/";3;0
"39";"2015-07-28";"Font-Awesome/build/_includes/";3;0
"40";"2015-07-29";"Font-Awesome/build/_includes/";3;0
"41";"2015-07-30";"Font-Awesome/build/_includes/";3;0
"42";"2015-07-31";"Font-Awesome/build/_includes/";3;0
"43";"2015-08-01";"Font-Awesome/build/_includes/";3;0
"44";"2015-08-02";"Font-Awesome/build/_includes/";3;0
"45";"2015-08-17";"Font-Awesome/build/_includes/";3;0
"46";"2015-08-19";"Font-Awesome/build/_includes/";3;0
"47";"2015-08-31";"Font-Awesome/build/_includes/";3;0
"48";"2015-09-01";"Font-Awesome/build/_includes/";3;0
"49";"2015-09-10";"Font-Awesome/build/_includes/";3;0
"50";"2015-09-11";"Font-Awesome/build/_includes/";3;0
"51";"2015-09-13";"Font-Awesome/build/_includes/";3;0
"52";"2015-09-14";"Font-Awesome/build/_includes/";3;0
"53";"2015-10-07";"Font-Awesome/build/_includes/";3;0
"54";"2015-10-08";"Font-Awesome/build/_includes/";3;0
"55";"2015-10-25";"Font-Awesome/build/_includes/";3;0
"56";"2015-11-02";"Font-Awesome/build/_includes/";3;0
"57";"2015-11-04";"Font-Awesome/build/_includes/";3;0
"58";"2015-11-05";"Font-Awesome/build/_includes/";3;0
"59";"2015-11-19";"Font-Awesome/build/_includes/";3;0
