"";"my.ta"
"react/React/core/__tests__/";0
"react/React/dom/__tests__/";0
"react/React/domUtils/__tests__/";0
"react/React/environment/__tests__/";0
"react/React/event/__tests__/";0
"react/React/eventPlugins/__tests__/";0
"react/React/utils/__tests__/";0
"react/bin/jsx_react_0.8_to_0.9_codemod/transforms/";1664,52352472089
"react/docs/_css/bourbon/";0
"react/docs/_js/cookbook/";0
"react/docs/_js/examples/";1664,52352472089
"react/docs/docs/likebutton/";7074,1870015949
"react/docs/docs/refactor/";416,12639553429
"react/docs/img/blog/";0
"react/docs/img/docs/";0
"react/docs/img/tutorial/";0
"react/docs/js/cookbook/";0
"react/examples/fiber/debugger/";2130,41005025126
"react/examples/jquery-bootstrap/css/";0
"react/examples/jquery-bootstrap/js/";416,12639553429
"react/examples/jquery-bootstrap/thirdparty/";416,12639553429
"react/examples/jquery-mobile/js/";832,255980861244
"react/examples/server-rendering/jsapp/";0
"react/examples/server-rendering/reactserver/";0
"react/examples/server-rendering/webapp/";0
"react/examples/shared/css/";0
"react/examples/shared/thirdparty/";0
"react/examples/todomvc-backbone/css/";0
"react/examples/todomvc-backbone/js/";0
"react/examples/todomvc-backbone/thirdparty/";0
"react/examples/todomvc-director/js/";0
"react/examples/todomvc-flux/css/";0
"react/examples/todomvc-flux/js/";0
"react/examples/todomvc-flux/todomvc-common/";416,12639553429
"react/examples/todomvc/css/";0
"react/examples/todomvc/js/";0
"react/fixtures/brunch/app/";11,4801762114537
"react/fixtures/dom/public/";557,661375661376
"react/fixtures/dom/src/";5081,5079006772
"react/fixtures/packaging/browserify/";476,101176470588
"react/fixtures/packaging/brunch/";1428,32941176471
"react/fixtures/packaging/rjs/";952,225882352941
"react/fixtures/packaging/systemjs-builder/";1897,91529411765
"react/fixtures/packaging/webpack-alias/";952,225882352941
"react/fixtures/packaging/webpack/";952,225882352941
"react/fixtures/src/components/";3339,02702702703
"react/fixtures/src/styles/";0
"react/gem-react-source/lib/react/";0
"react/grunt/config/jsx/";416,12639553429
"react/npm-react-codemod/test/__tests__/";832,255980861244
"react/npm-react-codemod/transforms/utils/";1664,52352472089
"react/packages/jsx_orphaned_brackets_transformer/transforms/";0
"react/packages/react-codemod/test/";0
"react/packages/react-codemod/transforms/";0
"react/packages/react-linked-input/__test__/";0
"react/packages/react/addons/";0
"react/packages/react/lib/";1079,87836700337
"react/scripts/error-codes/__tests__/";1310,49616368286
"react/scripts/perf-counters/src/";4577,3971291866
"react/scripts/release-manager/commands/";4632,94504699928
"react/src/addons/__tests__/";2893,11004784689
"react/src/addons/link/";3367,58732057416
"react/src/addons/transitions/";3289,44657097289
"react/src/browser/__tests__/";2496,77511961722
"react/src/browser/dom/";416,12639553429
"react/src/browser/eventPlugins/";0
"react/src/browser/server/";0
"react/src/browser/syntheticEvents/";416,12639553429
"react/src/browser/ui/";5409,65789473684
"react/src/classic/__tests__/";832,255980861244
"react/src/classic/class/";832,255980861244
"react/src/classic/element/";1664,52352472089
"react/src/classic/propTypes/";0
"react/src/classic/types/";0
"react/src/core/__tests__/";15804,0311004785
"react/src/dom/__tests__/";1248,39035087719
"react/src/dom/components/";9154,80622009569
"react/src/domUtils/__tests__/";0
"react/src/environment/__tests__/";1248,39035087719
"react/src/event/__tests__/";1248,39035087719
"react/src/event/delegate/";1248,39035087719
"react/src/event/eventPlugins/";3329,03827751196
"react/src/event/synthetic/";4161,27272727273
"react/src/eventPlugins/__tests__/";832,255980861244
"react/src/isomorphic/__tests__/";1759,55658914729
"react/src/isomorphic/children/";0
"react/src/isomorphic/deprecated/";0
"react/src/isomorphic/devtools/";4217,37547528517
"react/src/isomorphic/hooks/";599,002980625931
"react/src/modern/class/";3329,03987240829
"react/src/node_modules/react-dom/";7097,95614035088
"react/src/node_modules/react/";4436,17543859649
"react/src/renderers/__tests__/";0
"react/src/renderers/art/";2457,67992766727
"react/src/renderers/dom/";16179,5972886762
"react/src/renderers/native/";32792,4727272727
"react/src/renderers/noop/";878,657599053814
"react/src/renderers/shared/";16699,448296837
"react/src/renderers/testing/";2698,22428115016
"react/src/shared/stubs/";0
"react/src/shared/types/";0
"react/src/shared/utils/";1790,90111642743
"react/src/shared/vendor/";0
"react/src/test/__tests__/";2447,43540669856
"react/src/umd/shims/";1719,11930091185
"react/src/utils/__tests__/";5825,79585326954
"react/src/utils/immutable/";416,12639553429
"react/src/vendor/core/";5409,65789473684
"react/src/vendor/error/";0
"react/src/vendor/immutable/";0
"react/src/vendor/key-mirror/";0
"react/src/vendor/performance/";416,12639553429
"react/src/vendor/polyfill/";0
"react/src/vendor/stubs/";0
"react/src/vendor/third_party/";832,255980861244
"react/src/vendor_deprecated/core/";0
"react/vendor/fbtransform/lib/";0
"react/vendor/fbtransform/transforms/";0
